STUDENT_ID;GRADE_PERCENT;DDATE
3049988;3;19.10.2022
3049982;14.000000000000002;19.10.2022
3049961;0;19.10.2022
1535129;21;19.10.2022
3049922;6;19.10.2022
3049916;0;19.10.2022
3049898;12;19.10.2022
3049871;0;19.10.2022
3049849;6;19.10.2022
2484423;2;19.10.2022
3049811;10;19.10.2022
2700497;0;19.10.2022
3049712;0;19.10.2022
3022966;20;19.10.2022
3050829;0;19.10.2022
3050741;0;19.10.2022
3050733;0;19.10.2022
3050698;0;19.10.2022
3050691;29;19.10.2022
2697958;0;19.10.2022
3050687;0;19.10.2022
3050708;2;19.10.2022
3050657;0;19.10.2022
3050636;5;19.10.2022
3050623;13;19.10.2022
1239905;0;19.10.2022
2700433;0;19.10.2022
3050568;4;19.10.2022
3049004;0;19.10.2022
2056054;2;19.10.2022
3050524;0;19.10.2022
3050515;6;19.10.2022
3050512;0;19.10.2022
3050509;2;19.10.2022
3050475;0;19.10.2022
3050469;0;19.10.2022
2607188;0;19.10.2022
3050408;0;19.10.2022
3050385;0;19.10.2022
1487743;0;19.10.2022
3050295;0;19.10.2022
3050289;0;19.10.2022
3050249;0;19.10.2022
3050246;0;19.10.2022
3050219;0;19.10.2022
3050208;0;19.10.2022
3050193;0;19.10.2022
3050190;24;19.10.2022
2299803;0;19.10.2022
3050107;0;19.10.2022
3022936;0;19.10.2022
3050095;13;19.10.2022
3050054;0;19.10.2022
3050019;0;19.10.2022
3022933;0;19.10.2022
3049999;25;19.10.2022
967471;0;19.10.2022
3001609;1;19.10.2022
3022930;0;19.10.2022
3049951;0;19.10.2022
2700268;0;19.10.2022
3049782;0;19.10.2022
1523056;0;19.10.2022
3049715;13;19.10.2022
1136116;0;19.10.2022
3049683;4;19.10.2022
3049055;0;19.10.2022
3049662;0;19.10.2022
3022902;0;19.10.2022
3022906;17;19.10.2022
3054104;0;19.10.2022
3349051;14.000000000000002;19.10.2022
3340452;29;19.10.2022
3065046;0;19.10.2022
345015;0;19.10.2022
2856533;0;19.10.2022
3338701;0;19.10.2022
3096855;8;19.10.2022
3051208;0;20.10.2022
3051188;0;20.10.2022
3051130;0;20.10.2022
3051063;0;20.10.2022
3051028;14.000000000000002;20.10.2022
3050998;17;20.10.2022
3050976;0;20.10.2022
3049741;2;20.10.2022
3049706;0;20.10.2022
3050803;10;20.10.2022
3050746;0;20.10.2022
3050733;0;20.10.2022
2697958;0;20.10.2022
3022961;0;20.10.2022
3050687;0;20.10.2022
3050657;0;20.10.2022
3050648;0;20.10.2022
3050607;0;20.10.2022
3050583;19;20.10.2022
3050579;9;20.10.2022
3050475;0;20.10.2022
3050460;0;20.10.2022
2607188;0;20.10.2022
2700408;0;20.10.2022
3022951;12;20.10.2022
2700395;0;20.10.2022
3041125;0;20.10.2022
3050370;0;20.10.2022
3050343;0;20.10.2022
3050340;0;20.10.2022
3050323;7.000000000000001;20.10.2022
3050313;0;20.10.2022
3230003;0;20.10.2022
1522598;0;20.10.2022
3050265;0;20.10.2022
3050196;1;20.10.2022
3050168;0;20.10.2022
3022939;0;20.10.2022
3050121;14.000000000000002;20.10.2022
3050092;19;20.10.2022
3050048;2;20.10.2022
1549071;3;20.10.2022
3050041;1;20.10.2022
3049719;0;22.10.2022
3022969;28.000000000000004;22.10.2022
3049712;0;22.10.2022
2768192;0;22.10.2022
3050829;0;22.10.2022
1522906;0;22.10.2022
3050784;0;22.10.2022
3050716;0;22.10.2022
3050648;0;22.10.2022
3050644;9;22.10.2022
3050543;30;22.10.2022
3050515;6;22.10.2022
3050489;14.000000000000002;22.10.2022
3050482;27;22.10.2022
3050475;13;22.10.2022
3050469;0;22.10.2022
3050397;4;22.10.2022
3050323;7.000000000000001;22.10.2022
3050316;0;22.10.2022
3022945;16;22.10.2022
3050268;10;22.10.2022
3050249;0;22.10.2022
3050238;0;22.10.2022
3050235;0;22.10.2022
3050222;0;22.10.2022
3050190;24;22.10.2022
3050159;4;22.10.2022
3022941;21;22.10.2022
3050156;0;22.10.2022
2700335;0;22.10.2022
3050127;28.000000000000004;22.10.2022
3022937;0;22.10.2022
3050118;0;22.10.2022
3050107;0;22.10.2022
3050066;0;22.10.2022
3050060;0;22.10.2022
3050048;2;22.10.2022
3050009;7.000000000000001;22.10.2022
3049999;27;22.10.2022
3049996;8;22.10.2022
3049984;0;22.10.2022
3049975;0;22.10.2022
3049969;4;22.10.2022
3049936;0;22.10.2022
3049912;5;22.10.2022
3049875;0;22.10.2022
2700268;0;22.10.2022
3049843;0;22.10.2022
3049782;0;22.10.2022
3049779;19;22.10.2022
3022921;0;22.10.2022
3022919;0;22.10.2022
3049731;0;22.10.2022
3051334;0;22.10.2022
3049724;16;22.10.2022
3049690;0;22.10.2022
3049688;8;22.10.2022
3199929;1;22.10.2022
2700210;2;22.10.2022
3049680;0;22.10.2022
3049678;19;22.10.2022
2700202;0;22.10.2022
3049674;0;22.10.2022
3049663;0;22.10.2022
3344294;0;22.10.2022
3065046;0;22.10.2022
2793517;0;22.10.2022
3051188;0;24.10.2022
3051174;0;24.10.2022
3051158;29;24.10.2022
3339200;0;24.10.2022
3051145;0;24.10.2022
3051127;0;24.10.2022
3051109;0;24.10.2022
3051097;0;24.10.2022
3051072;9;24.10.2022
3051063;0;24.10.2022
3051056;30;24.10.2022
3051045;0;24.10.2022
3051042;0;24.10.2022
3051025;0;24.10.2022
3051022;11;24.10.2022
3023108;0;24.10.2022
3194256;10;24.10.2022
3050961;11;24.10.2022
3050946;9;24.10.2022
2963875;16;24.10.2022
2846594;0;24.10.2022
3050884;14.000000000000002;24.10.2022
3050854;0;24.10.2022
2736485;0;24.10.2022
3050800;1;24.10.2022
3050681;0;24.10.2022
3050660;0;24.10.2022
3050630;10;24.10.2022
3050574;0;24.10.2022
3050526;4;24.10.2022
3050497;29;24.10.2022
3050488;10;24.10.2022
3050474;0;24.10.2022
3050375;0;24.10.2022
3050350;0;24.10.2022
3050302;0;24.10.2022
2700988;29;24.10.2022
3050284;12;24.10.2022
3050267;9;24.10.2022
3050262;0;24.10.2022
3050210;3;24.10.2022
3050194;0;24.10.2022
3050148;0;24.10.2022
3050123;23;24.10.2022
3050105;0;24.10.2022
2698548;18;24.10.2022
3050093;10;24.10.2022
3050064;10;24.10.2022
3049153;0;24.10.2022
3050039;0;24.10.2022
3049981;0;20.10.2022
3049948;0;20.10.2022
3022927;17;20.10.2022
3230824;0;20.10.2022
3049912;5;20.10.2022
3022924;0;20.10.2022
3049875;0;20.10.2022
3049840;0;20.10.2022
3049818;2;20.10.2022
3049809;13;20.10.2022
3049779;16;20.10.2022
3049767;6;20.10.2022
2875460;4;20.10.2022
3049752;0;20.10.2022
2717554;0;20.10.2022
3049696;24;20.10.2022
3022913;16;20.10.2022
3022911;9;20.10.2022
3022909;4;20.10.2022
3049682;2;20.10.2022
3049680;0;20.10.2022
2700202;0;20.10.2022
3049661;21;20.10.2022
3049658;18;20.10.2022
3022906;29;20.10.2022
2120751;0;20.10.2022
1424165;0;20.10.2022
3340452;29;20.10.2022
1574028;9;20.10.2022
1323580;0;20.10.2022
1619051;19;20.10.2022
3381345;0;20.10.2022
3366391;1;20.10.2022
3051143;0;22.10.2022
3051123;23;22.10.2022
3086419;0;22.10.2022
1368618;0;22.10.2022
2701173;0;22.10.2022
3051075;0;22.10.2022
3051056;30;22.10.2022
3051042;0;22.10.2022
3051039;28.000000000000004;22.10.2022
3051036;0;22.10.2022
3050979;0;22.10.2022
3023106;2;22.10.2022
3050964;9;22.10.2022
3050955;0;22.10.2022
3050949;0;22.10.2022
3050893;0;22.10.2022
3023101;29;22.10.2022
3050831;0;22.10.2022
3050827;5;22.10.2022
2727921;0;22.10.2022
3050715;8;22.10.2022
3050668;0;22.10.2022
3050653;30;22.10.2022
3050626;0;22.10.2022
3023088;28.000000000000004;22.10.2022
3050550;25;22.10.2022
3023085;8;22.10.2022
3050541;7.000000000000001;22.10.2022
3023083;5;22.10.2022
3050514;14.000000000000002;22.10.2022
3050462;0;22.10.2022
3050446;0;22.10.2022
3050426;6;22.10.2022
3050415;0;22.10.2022
2970396;1;22.10.2022
3050338;3;22.10.2022
3050302;0;22.10.2022
1523104;0;22.10.2022
3023072;5;22.10.2022
3050267;0;22.10.2022
3050256;0;22.10.2022
3050172;18;22.10.2022
3050163;23;22.10.2022
